Landform,Reclassification
Undulating foothills and valley sides with gentle and strong slopes: non-rocky,Foothills
Valley sides with steep and very steep slopes: non- to moderately rocky,Valley sides
Lowland with dry ridges and wet hollows with gentle and strong slopes: slightly rocky,Lowlands
Undulating lowlands and uplands with gentle and strong slopes: non-rocky,Undulating ground
Hills with strong slopes,Hills
Ridged hills with gentle to strong slopes: very rocky,Hills
Mountains with gentle and strong slopes: non- to very rocky,Mountains
Undulating hills with gentle and strong slopes: moderately rocky,Undulating ground
Lowlands with complex gentle and strong slopes: moderately rocky,Lowlands
Rugged dissected lowlands and hills with gentle and strong slopes: very rocky,Hills
Hill sides with valley sides and hills with steep and very steep slopes: moderately and very rocky,Hills
Foothills with strong and steep slopes,Foothills
Hills and valley sides and undulating lowlands with gentle to steep slopes,Hills
Hill sides with steep and very steep slopes: moderately and very rocky,Hills
Lowlands with gentle slopes: non-rocky,Lowlands
Hill and valley sides with gentle and strong slopes,Valley sides
Hills and valley sides with steep and very steep slopes: non-rocky,Hills
Undulating uplands with complex gentle slopes: slightly to moderately rocky,Uplands
Hills and valley sides with gentle to steep slopes: slightly to moderately rocky,Hills
Hills and undulating lowlands with gentle and strong slopes: moderately rocky,Hills
Hills with simple strong and steep slopes,Hills
Hills and valley sides with gentle and strong slopes: non-rocky,Hills
Mountains with gentle to very steep slopes: slightly to very rocky,Mountains
Hills with gentle and strong slopes: slightly rocky,Hills
Hill sides and undulating lowlands with strong and steep slopes: moderately rocky,Hills
Hill sides with gentle and strong slopes: slightly and moderately rocky,Hills
Hills with complex strong slopes: moderately rocky,Hills
Hills with complex gentle to strong slopes: slightly to moderately rocky,Hills
Drumlins and undulating lowlands with gentle and strong slopes,Undulating ground
Lowlands with gentle and strong slopes: non- and slightly rocky,Lowlands
Unknown,Built-up Areas
Undulating lowlands and hills with gentle to steep complex slopes: slightly to moderately rocky,Undulating ground
Hills and valley sides with strong slopes: non-rocky,Hills
Mountains with gentle and strong slopes: slightly and moderately rocky,Mountains
Hummocky moraines on valley sides,Hummocks / Moraines 
Hill sides with steep and very steep slopes: moderately to very rocky,Hills
Hummocky moraines: often bouldery,Hummocks / Moraines 
Terraces with gentle slopes: non-rocky,Raised beach / Terrace / Coastal flats
Undulating lowlands and hills with gentle and steep slopes,Undulating ground
Undulating lowlands and uplands with gentle and strong slopes,Undulating ground
Hill sides with steep slopes: non-rocky,Hills
Beaches and dune slacks with minor dunes with gentle and strong slopes,Beaches / Dunes
Hummocky valley and slope moraines: often bouldery,Hummocks / Moraines 
Hill sides with steep and very steep slopes: slightly to very rocky,Hills
Undulating foothills with gentle slopes: slightly rocky,Foothills
Peat,Valley bottom / Peats
Hill sides with steep and very steep slopes: non-rocky,Hills
Hummocky valley moraines: non-rocky,Hummocks / Moraines 
Valley and hill sides with gentle and strong slopes,Valley sides
Valley sides and floors with gentle to steep slopes: often with landslips,Valley sides
Ridged low hills with gentle to very steep slopes: very rocky,Hills
Hill and valley sides with simple and complex strong slopes,Valley sides
Depressions and foothills with gentle slopes,Depressions
Hills and valley sides with generally concave with strong and steep slopes,Hills
Mounds with terraces and undulating lowlands with gentle to steep slopes,Undulating ground
Hill summits with gentle and strong slopes: slightly rocky with bouldery,Hills
Hill sides with gentle and strong slopes: non-rocky,Hills
Mountains with gentle and strong slopes: non- to moderately rocky,Mountains
